stage,group,n,accuracy,selection_rate,tpr,fpr,group_a,group_b,intersection
baseline,0,1642,0.940925700365408,0.06455542021924482,0.5338345864661654,0.023194168323392977,0,0,0_0
baseline,1,1263,0.8820269200316706,0.1163895486935867,0.4953271028037383,0.03908484270734033,0,1,0_1
baseline,2,3022,0.8696227663798809,0.14394440767703506,0.5368043087971275,0.05517241379310345,1,0,1_0
baseline,3,3122,0.7472773862908392,0.3475336322869955,0.6097922848664689,0.14825253664036075,1,1,1_1
equalized_odds,0,1642,0.9269183922046285,0.009135200974421437,0.10526315789473684,0.0006626905235255136,0,0,0_0
equalized_odds,1,1263,0.8614410134600158,0.034045922406967535,0.19158878504672897,0.0019065776930409914,0,1,0_1
equalized_odds,2,3022,0.8328921244209133,0.019192587690271344,0.09874326750448834,0.0012170385395537525,1,0,1_0
equalized_odds,3,3122,0.6425368353619475,0.08263933376041,0.18175074183976261,0.007328072153325817,1,1,1_1
